BG_id,all_included,random_included,flood
1,1,0.588087737,0
2,1,0.61957329,0
3,1,0.457391137,0
4,1,0.282319482,0
5,1,0.283862519,0
6,1,0.922995574,0
7,1,0.848929365,0
8,1,0.310439249,0
9,1,0.627905287,0
10,1,0.868523558,0
11,1,0.128461772,0
12,1,0.18628088,0
13,1,0.150004782,0
14,1,0.131784091,0
15,1,0.557518063,0
16,1,0.394532231,0
17,1,0.458348098,0
18,1,0.735529995,0
19,1,0.509419345,0
20,1,0.22794896,0
21,1,0.967154059,0
22,1,0.371796177,0
23,1,0.974427496,0
24,1,0.445492718,0
25,1,0.765519081,0
26,1,0.554526098,0
27,1,0.165161376,0
28,1,0.466286464,0
29,1,0.566681941,0
30,1,0.123724458,0
31,1,0.272273692,0
32,1,0.585248964,0
33,1,0.027414365,0
34,1,0.146857128,0
35,1,0.081845709,0
36,1,0.302814503,0
37,1,0.604676303,0
38,1,0.905068518,0
39,1,0.539303805,0
40,1,0.401791246,0
41,1,0.940036153,0
42,1,0.847267096,0
43,1,0.325253141,0
44,1,0.365420566,0
45,1,0.323928261,0
46,1,0.663611384,0
47,1,0.911571105,0
48,1,0.94739596,0
49,1,0.839054796,0
50,1,0.036319606,0
51,1,0.291000247,0
52,1,0.062403663,0
53,1,0.123154496,0
54,1,0.863591455,0
55,1,0.530877583,0
56,1,0.253326421,0
57,1,0.577411908,0
58,1,0.904591974,0
59,1,0.369221117,0
60,1,0.142609479,0
61,1,0.173787714,0
62,1,0.890018208,0
63,1,0.159027931,0
64,1,0.110412806,0
65,1,0.000542431,0
66,1,0.383282407,0
67,1,0.304321934,0
68,1,0.7290731,0
69,1,0.023388358,0
70,1,0.038369062,0
71,1,0.559475249,0
72,1,0.182461386,0
73,1,0.5091581,0
74,1,0.416066432,0
75,1,0.663319124,0
76,1,0.242851568,0
77,1,0.361501844,0
78,1,0.402686771,0
79,1,0.9894864,0
80,1,0.452619915,0
81,1,0.366693904,0
82,1,0.920827059,0
83,1,0.283795105,0
84,1,0.579739096,0
85,1,0.223483099,0
86,1,0.057433552,0
87,1,0.095972963,0
88,1,0.14703833,0
89,1,0.374860917,0
90,1,0.452055722,0
91,1,0.956181861,0
92,1,0.586632839,0
93,1,0.201349876,0
94,1,0.571822642,0
95,1,0.235249733,0
96,1,0.333150882,0
97,1,0.179227775,0
98,1,0.730566387,0
99,1,0.839450337,0
100,1,0.872008406,0
101,1,0.71927343,0
102,1,0.753760851,0
103,1,0.548811682,0
104,1,0.048718556,0
105,1,0.801280884,0
106,1,0.931536114,0
107,1,0.037013455,0
108,1,0.255678519,0
109,1,0.145952194,0
110,1,0.474630448,0
111,1,0.851210936,0
112,1,0.124104065,0
113,1,0.107350165,0
114,1,0.495688476,0
115,1,0.988271062,0
116,1,0.282101777,0
117,1,0.78692973,0
118,1,0.350358813,0
119,1,0.173597334,0
120,1,0.526126243,0
121,1,0.284828906,0
122,1,0.951357312,0
123,1,0.774289126,0
124,1,0.815136154,0
125,1,0.987012075,0
126,1,0.176975891,0
127,1,0.76830068,0
128,1,0.932488129,0
129,1,0.568750643,0
130,1,0.984324496,0
131,1,0.628506421,0
132,1,0.460229082,0
133,1,0.429327418,0
134,1,0.339842673,0
135,1,0.121779353,0
136,1,0.787571235,0
137,1,0.664302512,0
138,1,0.522409868,0
139,1,0.946022086,0
140,1,0.289214528,0
141,1,0.362434359,0
142,1,0.790343658,0
143,1,0.853607318,0
144,1,0.209951367,0
145,1,0.292698315,0
146,1,0.714748703,0
147,1,0.372016557,0
148,1,0.043833196,0
149,1,0.523373661,0
150,1,0.896758771,0
151,1,0.977790444,0
152,1,0.311187935,0
153,1,0.867548405,0
154,1,0.81301861,0
155,1,0.701446088,0
156,1,0.57190192,0
157,1,0.892531386,0
158,1,0.958710839,0
159,1,0.93050301,0
160,1,0.230562702,0
161,1,0.08961507,0
162,1,0.216839513,0
163,1,0.544195359,0
164,1,0.600109506,0
165,1,0.707598511,0
166,1,0.43300257,0
167,1,0.135551366,0
168,1,0.493094307,0
169,1,0.37328956,0
170,1,0.702034729,0
171,1,0.286306021,0
172,1,0.300642991,0
173,1,0.089498879,0
174,1,0.969949937,0
175,1,0.250466741,0
176,1,0.596029884,0
177,1,0.248169911,0
178,1,0.857159319,0
179,1,0.505239074,0
180,1,0.162835683,0
181,1,0.71278357,0
182,1,0.902499395,0
183,1,0.293375207,0
184,1,0.670532456,0
185,1,0.005296755,0
186,1,0.096295927,0
187,1,0.694477871,0
188,1,0.545582147,0
189,1,0.840653273,0
190,1,0.561317087,0
191,1,0.849145587,0
192,1,0.348944098,0
193,1,0.559624338,0
194,1,0.502263905,0
195,1,0.866903939,0
196,1,0.42243587,0
197,1,0.692583146,0
